"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample","n_markers_total.x","n_markers_tested.x","n_markers_pass.x","mean_median_difference.x","max_pf_overlap.x","sample_adt_status","n_markers_total.y","n_markers_tested.y","n_markers_pass.y","mean_median_difference.y","max_pf_overlap.y","lineage_adt_status","extreme_high_PLA","trusted_pair","final_pair_status"
"GSM8571067_Res-S146","Monocytes",119,105,14,0.882352941176471,4818,1201,2.44903192717015,0.812179623744851,0.928612620776019,0.116432997031169,TRUE,FALSE,FALSE,3,3,2,0.790029875132853,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571042_Abd-S111","Monocytes",416,364,52,0.875,6900,1222.5,1.9221579775838,0.839748545066413,0.903389116650909,0.0636405715844959,TRUE,TRUE,TRUE,3,3,2,1.02484459912223,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571049_Abd-S66","Monocytes",1341,1172,169,0.873974645786726,9480,1289,3.28843106180666,0.855136832088285,0.890675987275227,0.035539155186942,TRUE,TRUE,TRUE,3,3,2,1.52476658957458,0.391587381071607,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571081_Uri-S88","Monocytes",1234,1052,182,0.852512155591572,4018.5,1090.5,2.41721932243328,0.831634419932561,0.871201952044234,0.0395675321116726,TRUE,TRUE,TRUE,3,3,2,1.19384936007521,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571064_Res-S10","Monocytes",61,52,9,0.852459016393443,5423,1854,3.63267564078923,0.742767647052789,0.920388314920672,0.177620667867883,FALSE,FALSE,FALSE,3,3,1,0.668542848410657,1,"ADT_suspicious",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571049_Abd-S66","DCs",27,23,4,0.851851851851852,9845,2954,4.22503725782414,0.67521314572187,0.940840722237557,0.265627576515687,FALSE,FALSE,FALSE,3,3,2,1.52476658957458,0.391587381071607,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571073_Res-S19","Monocytes",249,209,40,0.839357429718876,3650,1217,1.94660734149055,0.788647427171908,0.879755613960079,0.0911081867881711,TRUE,TRUE,TRUE,3,3,2,0.842288280344955,0.623270440251572,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571059_IC08","Monocytes",1271,1064,207,0.837136113296617,5009,1493,1.83252145673858,0.815825872178092,0.856414580993848,0.0405887088157564,TRUE,TRUE,TRUE,3,3,2,1.03222291408727,0.562849162011173,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571048_Abd-S55","DCs",12,10,2,0.833333333333333,4777.5,916.5,1.76164215686275,0.551969137747027,0.953034857816146,0.401065720069119,FALSE,FALSE,FALSE,3,3,2,0.886416706122559,0.224347826086957,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571046_Abd-S49","Monocytes",573,477,96,0.832460732984293,6965,1223,2.94736842105263,0.799690259422454,0.860803181494439,0.0611129220719848,TRUE,TRUE,TRUE,3,3,2,1.31715054967647,0.323356009070295,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",FALSE,TRUE,"trusted"
"GSM8571046_Abd-S49","DCs",57,47,10,0.824561403508772,8110,1397,2.96816747920849,0.706326471703061,0.9018114776029,0.19548500589984,FALSE,FALSE,FALSE,3,3,2,1.31715054967647,0.323356009070295,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
