"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"Monocytes","NK Proliferating",0,0,0,2,-0.608038421201418,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","NK_2",0,0,0,3,-0.947706761405907,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","NK_4",0,0,0,2,-1.01409145330255,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","NK_CD56bright",0,2,0,4,-0.573370859877616,6,0.666666666666667,0.333333277777787,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Platelet",0,14,0,30,1.52649345330023,44,0.681818181818182,0.340909083161157,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","cDC1",0,11,0,7,2.21394102430584,18,0.388888888888889,0.194444433641976,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","cDC2_1",0,366,0,1,1.8928872709372,367,0.00272479564032698,0.00136239781645123,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","cDC2_2",0,1159,0,9,1.82038782699378,1168,0.00770547945205479,0.00385273972272882,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","dnT_2",0,0,0,1,-0.347478505507096,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","pDC",0,5,0,1,2.95193288271701,6,0.166666666666667,0.0833333194444468,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"NK-cells","NK_1",0,0,0,1,-0.85089575238997,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","B intermediate kappa",0,15,0,287,1.38519584142795,302,0.950331125827815,0.475165561340511,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","B intermediate lambda",0,30,5,388,1.40122453742937,423,0.91725768321513,0.464114831425563,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","B memory kappa",0,3,9,326,1.23818434656011,338,0.964497041420118,0.495440727977384,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","B memory lambda",0,8,3,201,1.18947976537801,212,0.94811320754717,0.480861241718367,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Naive-B-cells","B naive kappa",1,89,31,3038,1.3923479365334,3159,0.962013295346629,0.501394107127399,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
