"contrast","group","sender","receiver","ligand","receptor","lr_interaction","id","scaled_lfc_ligand","scaled_p_val_ligand_adapted","scaled_lfc_receptor","scaled_p_val_receptor_adapted","max_scaled_activity","scaled_pb_ligand","scaled_pb_receptor","fraction_expressing_ligand_receptor","prioritization_score","top_group"
"PLA-platelet.free","PLA","CD4.T.cells","B.cells","FCN1","LRP1","FCN1_LRP1","FCN1_LRP1_CD4.T.cells_B.cells",0.977664155005382,0.981162540365985,0.997652582159624,0.997065727699531,0.63359008944218,0.51884112094871,0.826046703109827,0.725,0.78004173601933,"PLA"
"PLA-platelet.free","PLA","NK.cells","Monocytes","S100A9","ITGB2","S100A9_ITGB2","S100A9_ITGB2_NK.cells_Monocytes",0.845801937567277,0.63778256189451,0.618544600938967,0.734154929577465,0.57047660688332,0.713339457470615,1.001,0.975,0.779659679890507,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","CD4.T.cells","THBS1","ITGB1","THBS1_ITGB1","THBS1_ITGB1_CD4.T.cells_CD4.T.cells",0.992195909580194,0.988697524219591,0.813380281690141,0.879694835680751,0.559575154348031,0.830223292197377,1.001,0.45,0.779630453688458,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","CD4.T.cells","PF4","LDLR","PF4_LDLR","PF4_LDLR_CD4.T.cells_CD4.T.cells",0.990581270182992,0.992465016146394,0.855046948356808,0.825704225352113,0.879137516737744,0.890889298449289,0.574810850624967,0.5,0.779456065971859,"PLA"
"PLA-platelet.free","PLA","NK.cells","CD8.T.cells","CCL5","CXCR3","CCL5_CXCR3","CCL5_CXCR3_NK.cells_CD8.T.cells",0.335037674919268,0.413347685683531,0.856807511737089,0.925469483568075,0.637185532969834,0.847214758893711,1.001,0.925,0.779288578302921,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","LRPAP1","LRP1","LRPAP1_LRP1","LRPAP1_LRP1_Monocytes_Monocytes",0.472551130247578,0.445909580193757,0.662558685446009,0.776408450704225,0.494618566239714,1.001,1.001,1,0.77922208158925,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","Monocytes","APP","LRP1","APP_LRP1","APP_LRP1_CD4.T.cells_Monocytes",0.784176533907427,0.703982777179763,0.662558685446009,0.776408450704225,0.479333407527502,0.748657252837081,1.001,0.975,0.777925647330549,"PLA"
"PLA-platelet.free","PLA","Monocytes","CD4.T.cells","PF4V1","CXCR3","PF4V1_CXCR3","PF4V1_CXCR3_Monocytes_CD4.T.cells",0.969321851453176,0.981700753498385,0.860328638497653,0.907276995305164,0.693629064053875,0.776314611870092,0.885043376178805,0.45,0.777383528579993,"PLA"
"PLA-platelet.free","PLA","Monocytes","Monocytes","CD9","CD36","CD9_CD36","CD9_CD36_Monocytes_Monocytes",0.866523143164693,0.797631862217438,0.812793427230047,0.898474178403756,0.356183085513652,0.943759499975516,1.001,0.675,0.777275648499522,"PLA"
"platelet.free-PLA","platelet.free","CD8.T.cells","Monocytes","TGFB1","ENG","TGFB1_ENG","TGFB1_ENG_CD8.T.cells_Monocytes",0.422497308934338,0.28794402583423,0.738556338028169,0.715962441314554,1.001,0.866311262372825,0.909960107878407,0.8,0.776625237884479,"platelet.free"
"PLA-platelet.free","PLA","NK.cells","Monocytes","S100A8","TLR4","S100A8_TLR4","S100A8_TLR4_NK.cells_Monocytes",0.852798708288482,0.647470398277718,0.651701877934272,0.730633802816901,0.586890145424746,0.703428753356258,1.001,0.925,0.776270215406615,"PLA"
