"contrast","sender","receiver","ligand","receptor","lfc_ligand","lfc_receptor","ligand_receptor_lfc_avg","p_val_ligand","p_adj_ligand","p_val_receptor","p_adj_receptor"
"PLA-platelet.free","B.cells","CD4.T.cells","GP1BA","ITGAM",4.24,2.33,3.285,5.19e-08,4.88e-07,2.44e-16,8.69e-15
"PLA-platelet.free","NK.cells","B.cells","THBS1","ITGB3",1.14,5.37,3.255,2.36e-07,3.81e-05,1.22e-17,6.41e-16
"PLA-platelet.free","B.cells","NK.cells","S100A9","CD36",5.62,0.888,3.254,2.81e-25,1.7e-22,0.000308,0.00752
"PLA-platelet.free","CD8.T.cells","B.cells","FCN1","LRP1",1.37,5.12,3.245,1.82e-08,6.44e-07,1.83e-24,6.92e-22
"PLA-platelet.free","CD8.T.cells","B.cells","S100A8","CD36",1.67,4.82,3.245,7.16e-10,4.29e-08,2.7e-22,5.63e-20
"PLA-platelet.free","B.cells","NK.cells","S100A8","CD36",5.58,0.888,3.234,6.43e-25,2.91e-22,0.000308,0.00752
"PLA-platelet.free","B.cells","CD4.T.cells","ESAM","ESAM",2.79,3.66,3.225,3.12e-10,4.22e-09,2.38e-17,1.06e-15
"PLA-platelet.free","B.cells","B.cells","LYZ","ITGAL",5,1.45,3.225,1.24e-24,4.88e-22,1.85e-09,2.21e-08
"PLA-platelet.free","CD4.T.cells","B.cells","ESAM","ESAM",3.66,2.79,3.225,2.38e-17,1.06e-15,3.12e-10,4.22e-09
"PLA-platelet.free","NK.cells","B.cells","THBS1","ITGA2B",1.14,5.3,3.22,2.36e-07,3.81e-05,1.37e-18,8.5e-17
"PLA-platelet.free","NK.cells","CD4.T.cells","THBS1","ITGA2B",1.14,5.29,3.215,2.36e-07,3.81e-05,4.51e-28,9.74e-25
"PLA-platelet.free","B.cells","NK.cells","S100A12","CD36",5.54,0.888,3.214,4.25e-26,4.27e-23,0.000308,0.00752
"PLA-platelet.free","B.cells","B.cells","S100A9","AGER",5.62,0.795,3.2075,2.81e-25,1.7e-22,0.0407,0.0804
"PLA-platelet.free","CD8.T.cells","B.cells","S100A9","CD36",1.59,4.82,3.205,2.29e-09,1.09e-07,2.7e-22,5.63e-20
"PLA-platelet.free","B.cells","B.cells","NAMPT","ITGA5",2.15,4.23,3.19,2.87e-14,8.79e-13,5.64e-16,2.35e-14
"PLA-platelet.free","B.cells","B.cells","S100A8","AGER",5.58,0.795,3.1875,6.43e-25,2.91e-22,0.0407,0.0804
"PLA-platelet.free","NK.cells","B.cells","NRG1","ITGB3",0.987,5.37,3.1785,0.00025,0.00669,1.22e-17,6.41e-16
"PLA-platelet.free","B.cells","CD4.T.cells","ADAM15","ITGB3",1.31,5.04,3.175,1.06e-06,7.74e-06,3.08e-24,1.24e-21
"PLA-platelet.free","B.cells","NK.cells","S100A9","ALCAM",5.62,0.718,3.169,2.81e-25,1.7e-22,0.00311,0.0374
"PLA-platelet.free","B.cells","B.cells","SPARC","ENG",5.21,1.09,3.15,3.66e-22,7.04e-20,0.00671,0.0178
"PLA-platelet.free","CD4.T.cells","B.cells","FURIN","LRP1",1.14,5.12,3.13,3.4e-09,2.9e-08,1.83e-24,6.92e-22
"PLA-platelet.free","NK.cells","B.cells","HP","ASGR2",1.23,5.03,3.13,7.1e-05,0.00277,6.81e-18,3.74e-16
"PLA-platelet.free","NK.cells","B.cells","THBS1","LRP1",1.14,5.12,3.13,2.36e-07,3.81e-05,1.83e-24,6.92e-22
"PLA-platelet.free","NK.cells","B.cells","HP","ASGR1",1.23,5.02,3.125,7.1e-05,0.00277,1.04e-20,1.27e-18
"PLA-platelet.free","B.cells","B.cells","CCL5","CCR1",2.52,3.72,3.12,3.17e-10,4.28e-09,9.05e-15,3e-13
"PLA-platelet.free","CD4.T.cells","B.cells","HLA.DRA","CD4",1.88,4.34,3.11,2.09e-22,5.8e-20,1.28e-13,3.45e-12
"PLA-platelet.free","CD8.T.cells","CD4.T.cells","S100A8","CD36",1.67,4.55,3.11,7.16e-10,4.29e-08,6.76e-22,1.56e-19
"PLA-platelet.free","Monocytes","B.cells","THBS1","ITGB3",0.815,5.37,3.0925,4.94e-09,3e-07,1.22e-17,6.41e-16
"PLA-platelet.free","B.cells","CD4.T.cells","PF4","CXCR3",5.58,0.602,3.091,5.55e-23,1.36e-20,5.16e-09,4.28e-08
"PLA-platelet.free","B.cells","CD4.T.cells","S100A9","ITGB2",5.62,0.561,3.0905,2.81e-25,1.7e-22,4.61e-14,1.08e-12
"PLA-platelet.free","NK.cells","CD4.T.cells","THBS1","ITGB3",1.14,5.04,3.09,2.36e-07,3.81e-05,3.08e-24,1.24e-21
"PLA-platelet.free","B.cells","Monocytes","S100A9","ALCAM",5.62,0.549,3.0845,2.81e-25,1.7e-22,0.000125,0.00155
"PLA-platelet.free","B.cells","CD8.T.cells","PF4","CXCR3",5.58,0.588,3.084,5.55e-23,1.36e-20,1.08e-10,8.22e-09
"PLA-platelet.free","B.cells","CD4.T.cells","PF4","LDLR",5.58,0.584,3.082,5.55e-23,1.36e-20,8.27e-05,0.000285
"PLA-platelet.free","CD4.T.cells","B.cells","PSAP","LRP1",1.03,5.12,3.075,6.73e-12,1.01e-10,1.83e-24,6.92e-22
"PLA-platelet.free","CD4.T.cells","B.cells","ANXA2","DYSF",1.13,5.02,3.075,9.34e-21,1.25e-18,2.36e-18,1.41e-16
"PLA-platelet.free","B.cells","CD4.T.cells","S100A8","ITGB2",5.58,0.561,3.0705,6.43e-25,2.91e-22,4.61e-14,1.08e-12
"PLA-platelet.free","CD8.T.cells","CD4.T.cells","S100A9","CD36",1.59,4.55,3.07,2.29e-09,1.09e-07,6.76e-22,1.56e-19
"PLA-platelet.free","Monocytes","B.cells","THBS1","ITGA2B",0.815,5.3,3.0575,4.94e-09,3e-07,1.37e-18,8.5e-17
"PLA-platelet.free","B.cells","NK.cells","PF4","LDLR",5.58,0.526,3.053,5.55e-23,1.36e-20,0.000986,0.0171
"PLA-platelet.free","Monocytes","CD4.T.cells","THBS1","ITGA2B",0.815,5.29,3.0525,4.94e-09,3e-07,4.51e-28,9.74e-25
"PLA-platelet.free","CD8.T.cells","B.cells","S100A12","TLR4",2.03,4.06,3.045,1.41e-13,4.61e-11,3.5e-18,2.04e-16
"PLA-platelet.free","Monocytes","B.cells","HP","ASGR2",1.04,5.03,3.035,3.16e-13,7.69e-11,6.81e-18,3.74e-16
"PLA-platelet.free","B.cells","NK.cells","HP","CD163",4.93,1.14,3.035,8.63e-15,2.9e-13,2.06e-06,0.000223
"PLA-platelet.free","B.cells","B.cells","ANXA2","DYSF",1.04,5.02,3.03,2.34e-12,4.92e-11,2.36e-18,1.41e-16
