"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode"
"Late-NK-cells","NK_4",1,48,8,1098,-0.706262582994523,1156,0.950692041522491,0.534613140587728,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","NK_CD56bright",1,45,7,590,-0.484980803838642,643,0.919129082426128,0.527066920589758,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","Plasma",0,0,1,14,-0.40032223340647,15,0.933333333333333,0.499999964285717,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","Plasmablast",0,0,0,2,-0.543029911644099,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","Platelet",10,1,10,5,1.18530491434803,26,0.576923076923077,0.666666584722234,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","Treg Memory",0,0,0,4,-0.773054247653934,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","Treg Naive",0,0,0,11,-0.310019794835155,11,1,0.499999954545459,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","cDC1",7,1,4,2,2.19129039482959,14,0.642857142857143,0.65151501147846,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","cDC2_1",2,1,1,0,1.18432827265986,4,0.5,0.333333222222259,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","cDC2_2",50,117,2,1,1.92193787964818,171,0.298245614035088,0.485006509623353,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","dnT_1",0,0,0,5,-0.553282356783693,5,1,0.49999990000002,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","dnT_2",0,0,0,6,-0.606173847019348,6,1,0.499999916666681,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","gdT_1",0,0,0,1,-0.369930489054683,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","gdT_2",0,1,0,6,-0.485159797716626,7,0.857142857142857,0.428571367346948,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","gdT_3",0,0,0,84,-0.616565375717037,84,1,0.499999994047619,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","gdT_4",0,0,0,12,-0.643547585987518,12,1,0.499999958333337,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","pDC",326,216,121,74,4.77481749376123,738,0.5420054200542,0.492239449488695,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","ASDC_mDC",3,1,0,0,2.23645565149106,4,0.75,0.499999833333389,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","CD14 Mono",263,1,6,0,1.17244700451769,270,0.974074074074074,0.488847581825845,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","CD16 Mono",56,4,2,1,0.726010102869828,63,0.904761904761905,0.582758592366235,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","CD4 TEM_1",0,0,1,0,-0.380182934194276,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","Doublet",3,0,0,0,0.603654417612147,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","Eryth",1,0,0,0,1.76448553163465,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","HSPC",1,0,41,0,-0.330697571911974,42,0.0238095238095238,0.0119047616213152,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","ILC",0,0,1,0,-1.01368867223846,1,0,0,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","NK Proliferating",0,0,2,0,-0.655806808179628,2,0,0,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","NK_2",0,0,3,0,-0.808719245765504,3,0,0,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","NK_4",0,0,2,0,-0.91378693936661,2,0,0,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","NK_CD56bright",1,0,5,0,-0.60700834836792,6,0.166666666666667,0.0833333194444468,"vaccine","AUCell","gmm_dist_dual"
"Monocytes","Platelet",12,0,32,0,2.44619726965866,44,0.272727272727273,0.136363633264463,"vaccine","AUCell","gmm_dist_dual"
