"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample"
"D503","CD4 T cells",3267,0,3267,0,6279,225,3.72320421210982,0,0.00117445583011509,0.00117445583011509,TRUE,TRUE,TRUE
"D503","CD8 T cells",122,0,122,0,5757.5,251,4.95448517293142,0,0.0305261783890129,0.0305261783890129,TRUE,TRUE,TRUE
"D503","NK cells",910,0,910,0,3633.5,237.5,6.10904361806799,4.33680868994202e-19,0.0042036381514705,0.0042036381514705,TRUE,TRUE,TRUE
"D503","Monocytes",4,0,4,0,6511.5,525,6.19908652601603,0,0.489890836454597,0.489890836454597,FALSE,FALSE,FALSE
"D503","Neutrophils",1,0,1,0,3121,487,5.76738224927908,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
"D512","DCs",8,0,8,0,2688.5,2193.5,1.35107002036701,0,0.32440756488388,0.32440756488388,FALSE,FALSE,FALSE
"D520","B cells",28,0,28,0,3041,1237.5,2.95966907318046,0,0.120643304765846,0.120643304765846,TRUE,TRUE,TRUE
"D520","CD4 T cells",1603,0,1603,0,4928,795,1.98976691301876,0,0.00239068938606643,0.00239068938606643,TRUE,TRUE,TRUE
"D520","CD8 T cells",790,0,790,0,4987,832,2.42214324692954,4.33680868994202e-19,0.00483907558368251,0.00483907558368251,TRUE,TRUE,TRUE
"D520","DCs",4,0,4,0,3149.5,1707.5,2.90659260147331,0,0.489890836454597,0.489890836454597,FALSE,FALSE,FALSE
"D523","B cells",24,0,24,0,3717.5,2365.5,3.390755637405,0,0.13797620467498,0.13797620467498,TRUE,TRUE,TRUE
"D523","CD4 T cells",741,0,741,0,4464,1224,2.56235827664399,0,0.00515741809911642,0.00515741809911642,TRUE,TRUE,TRUE
"D523","CD8 T cells",347,0,347,0,4361,1293,3.56122643306037,0,0.0109492727387654,0.0109492727387654,TRUE,TRUE,TRUE
"D523","DCs",1,0,1,0,2019,2140,6.29024269440317,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
"D523","Neutrophils",25,0,25,0,3395,2044,3.52733686067019,0,0.133192250939048,0.133192250939048,TRUE,TRUE,TRUE
