"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample","n_markers_total.x","n_markers_tested.x","n_markers_pass.x","mean_median_difference.x","max_pf_overlap.x","sample_adt_status","n_markers_total.y","n_markers_tested.y","n_markers_pass.y","mean_median_difference.y","max_pf_overlap.y","lineage_adt_status","extreme_high_PLA","trusted_pair","final_pair_status"
"sample34","B cells",5,0,5,0,4892,315,6.33029231055669,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample34","DCs",9,0,9,0,7356,1361,6.46364201367309,0,0.299145048419544,0.299145048419544,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample34","NK cells",2,0,2,0,9791,616.5,5.27884485842808,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample34","CD4 T cells",1,0,1,0,5389,11424,3.76693264056411,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",NA,NA,NA,NA,NA,NA,FALSE,FALSE,"frequency_QC_fail"
"sample34","Macrophages",2,0,2,0,11213,2690.5,6.88246062889356,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"frequency_QC_fail"
"sample34","Neutrophils",23,0,23,0,10189,701,5.93471810089021,0,0.143116618450427,0.143116618450427,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"sample_ADT_not_testable"
"sample39","B cells",1,0,1,0,5956,480,5.17125587642713,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,5,5,1,0.657020683848343,1,"ADT_suspicious",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample39","DCs",5,0,5,0,12781,2742,7.56591815976841,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE,FALSE,FALSE,5,5,1,0.657020683848343,1,"ADT_suspicious",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample39","Neutrophils",52,0,52,0,8537.5,952.5,5.29418577788649,0,0.0687922361238623,0.0687922361238623,TRUE,TRUE,TRUE,5,5,1,0.657020683848343,1,"ADT_suspicious",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"sample_ADT_suspicious"
"sample4","B cells",33,0,33,0,5678,1004,6.89595872742906,0,0.104269997542452,0.104269997542452,TRUE,TRUE,TRUE,5,5,1,0.872463617735655,1,"ADT_suspicious",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"lineage_ADT_not_testable"
