"Matched_Signature","Matched_SIG_FILE_BASE","Rep","N_Genes","SIG_NAME","SIG_FILE_BASE","File"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",6,261,"RANDOM_REACTOME_rep06","RANDOM_REACTOME_rep06","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep06.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",7,261,"RANDOM_REACTOME_rep07","RANDOM_REACTOME_rep07","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep07.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",8,261,"RANDOM_REACTOME_rep08","RANDOM_REACTOME_rep08","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep08.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",9,261,"RANDOM_REACTOME_rep09","RANDOM_REACTOME_rep09","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep09.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",10,261,"RANDOM_REACTOME_rep10","RANDOM_REACTOME_rep10","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep10.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",11,261,"RANDOM_REACTOME_rep11","RANDOM_REACTOME_rep11","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep11.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",12,261,"RANDOM_REACTOME_rep12","RANDOM_REACTOME_rep12","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep12.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",13,261,"RANDOM_REACTOME_rep13","RANDOM_REACTOME_rep13","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep13.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",14,261,"RANDOM_REACTOME_rep14","RANDOM_REACTOME_rep14","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep14.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",15,261,"RANDOM_REACTOME_rep15","RANDOM_REACTOME_rep15","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep15.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",16,261,"RANDOM_REACTOME_rep16","RANDOM_REACTOME_rep16","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep16.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",17,261,"RANDOM_REACTOME_rep17","RANDOM_REACTOME_rep17","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep17.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",18,261,"RANDOM_REACTOME_rep18","RANDOM_REACTOME_rep18","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep18.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",19,261,"RANDOM_REACTOME_rep19","RANDOM_REACTOME_rep19","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep19.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",20,261,"RANDOM_REACTOME_rep20","RANDOM_REACTOME_rep20","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep20.csv"
