"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"CD4 T cells","Monocytes","SPON2","ITGB2",0.310803283536477,2871.8,0.0232164167803841,5183,0.173569243721003,2486,0.197421358497516,2535,0.885490257359603,2311,0,1844
"B cells","B cells","HSP90AA1","ITGB3",0.310973509577237,2741.2,0.0618788885777509,1617,0.166980965646079,2531,0.265155955647537,2164,0.847887001119353,3397,0.134,3997
"CD8 T cells","B cells","HMGB1","CD163",0.310973509577237,3167.2,0.0333977021518293,3813,0.0668720367057908,3602,-0.0128811156245755,3997,0.875930475120581,2580,0,1844
"CD8 T cells","NK cells","GNAS","ADCY7",0.310973509577237,3247.4,0.0319174201363041,3997,0.0683913537700063,3582,0.00358802723500606,3869,0.864062276866972,2945,0,1844
"Monocytes","NK cells","ICAM1","ITGAL_ITGB2",0.311684259679439,2744.4,0.0492677147369413,2425,0.166248563690058,2537,0.205732130666303,2491,0.807555230973655,4425,0,1844
"B cells","B cells","LTB","TNFRSF1A",0.311752305855073,2578.6,0.0318936412756109,3999,0.211633784903789,2143,0.327803911449825,1864,0.860821037859703,3043,0,1844
"NK cells","DCs","CD52","SIGLEC10",0.311947248511467,2989.7,0.0575830348020945,1858,0.159052236322693,2610,-0.00703148218361094,3956,0.877820810929122,2525,0.136,3999.5
"B cells","DCs","HMGB1","CD163",0.311947248511467,3255.7,0.0436087649450117,2854,0.0342465790686253,3932,0.0777551951172152,3332,0.889714695492179,2161,0.136,3999.5
"CD8 T cells","NK cells","CD48","CD2",0.312142288675754,2949.2,0.0338224707869121,3757,0.113157319394705,3085,-0.0131042763349454,4000,0.892357984552958,2060,0,1844
"DCs","NK cells","PSAP","LRP1",0.313314579376006,2537.8,0.0318553634898014,4003,0.15750885028423,2628,0.141186934875774,2890,0.912478862896451,1324,0,1844
"Monocytes","CD4 T cells","APP","LRP10",0.313451275265493,2669.6,0.0476420186856304,2541,0.175614839506803,2468,0.343617420394817,1786,0.794284975144712,4709,0,1844
"B cells","CD8 T cells","LGALS3","LAG3",0.314294176470605,2512.3,0.0772399488981244,1011,0.25324343678149,1831,0.217203142971091,2428,0.851897802438562,3286,0.145,4005.5
"CD8 T cells","CD4 T cells","TGFB1","SMAD3",0.314490389585023,3021.2,0.0369062681945069,3458,0.159752581604212,2599,0.0950812802109454,3199,0.823318143063678,4006,0,1844
"CD8 T cells","CD4 T cells","FADD","FAS",0.315225051267109,3016.8,0.0581079028012096,1826,0.179594117322156,2426,0.19602983259216,2545,0.660634413047578,6443,0,1844
"Monocytes","Monocytes","LGALS1","PTPRC",0.315276222250423,2425.2,0.0318374300614548,4008,0.0715223022648291,3548,0.208746424164904,2474,0.95312084820165,252,0,1844
"CD8 T cells","DCs","HLA-DRB1","CD4",0.315669552894696,2558.2,0.047532265072849,2546,0.200981531839519,2230,-0.0482764684792177,4234,0.895834708108853,1937,0,1844
