"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"DCs","DCs","VCAN","TLR2",0.00249668252793795,735.4,0.172680029549673,197,1.89421400601559,42,1.91877185986126,101,0.914789906821891,1460,0,1877
"Monocytes","CD4 T cells","S100A8","CD69",0.00272194048846697,613.4,0.120859188926687,548,1.29108889673358,220,2.08127574423173,72,0.954381004790742,350,0,1877
"Monocytes","CD8 T cells","S100A9","ITGB2",0.00272701641658234,804.4,0.0628635208422986,1839,1.31794708745545,203,2.01930050705943,80,0.970206058107957,23,0,1877
"B cells","Monocytes","HLA-DRA","CD4",0.00280042350943113,619.8,0.148302798118058,322,1.19354684556012,298,2.26060602128234,50,0.94419669021048,552,0,1877
"DCs","CD4 T cells","S100A8","CD69",0.00288056307991766,611.8,0.11978559542511,556,1.2779456456361,227,2.32934739730351,44,0.95418637274058,355,0,1877
"DCs","DCs","SERPINA1","LRP1",0.00297079624040286,549,0.170086932328965,209,2.14273796064587,20,2.14499975217853,62,0.943360225877054,577,0,1877
"Monocytes","Monocytes","RETN","TLR4",0.00301275784023459,921.4,0.24270874125074,44,1.83402737059677,49,1.53898868562068,210,0.881715203055643,2427,0,1877
"Monocytes","Monocytes","CD14","TLR1",0.00314095741455834,942.6,0.169637934106162,213,1.62461847047018,80,1.60788027394539,173,0.884070689839876,2370,0,1877
"Monocytes","Monocytes","GRN","SORT1",0.00318446750793125,876,0.184560974647721,143,1.72310145486264,60,1.53413934593929,214,0.89466084806557,2086,0,1877
"Monocytes","B cells","TNFSF13B","CD40",0.00322836870198237,787,0.331983145646852,15,1.68224840324301,67,1.53202026290058,215,0.905655003988029,1761,0,1877
"B cells","Monocytes","FCER2","ITGAM_ITGB2",0.00331735073618281,589.4,0.244054929141563,42,1.29588828367321,217,1.74431988857295,133,0.939339496894934,678,0,1877
"DCs","DCs","S100A8","TLR4",0.00345482415171568,587.6,0.159189800654591,264,1.88821816590901,44,2.51882965755935,28,0.937131824227859,725,0,1877
"Monocytes","DCs","LGALS9","LRP1",0.00350007767556333,730.4,0.168174366610497,221,1.80589661002761,52,1.59335538918841,181,0.919297564719245,1321,0,1877
"Monocytes","Monocytes","GNAI2","FPR1",0.00358399279483074,604.2,0.116108171339916,588,1.8277415083573,50,1.72992435334824,138,0.953055342288744,368,0,1877
"Monocytes","DCs","S100A9","TLR4",0.0036122636586472,581.4,0.163493195869097,243,1.93927640035183,35,2.32156343540472,45,0.938041675986415,707,0,1877
"Monocytes","CD8 T cells","S100A8","ITGB2",0.00364134004340971,821.2,0.0617574472769776,1894,1.28003210411011,224,1.96849507614228,86,0.969883892669746,25,0,1877
"B cells","Monocytes","FCER2","ITGAX_ITGB2",0.00373754668215282,602.4,0.240605123978161,48,1.27851727824196,226,1.70359391378366,141,0.937372999462175,720,0,1877
"NK cells","Monocytes","HLA-A","LILRB2",0.00378626421407326,646.6,0.0968488170455778,837,1.43238119572845,142,1.50844733589216,227,0.962430487067685,150,0,1877
"NK cells","Monocytes","SPON2","ITGB2",0.00390309836349555,632.6,0.161227936440723,252,0.947900858684223,601,1.94300585275244,92,0.954735943238177,341,0,1877
